hashtag,username,timestamp,tweet
#nifty50,Business Times,2026-07-01T06:45:39.000Z,"Business Times
@BusinessTimesIn
·
5m
Replying to 
@BusinessTimesIn
 Sensex Today | Market Update

Sensex surges over 600 pts. Price: 77,105.33 Change: +0.82%

#StockMarketIndia #Nifty50
25"
#nifty50,IndianFinance,2026-07-01T06:45:14.000Z,"IndianFinance
@fiidiireport
·
5m
Money rotating out of NIFTY IT weakness (-0.72%) into Media strength (+2.10%) 

#StockMarketIndia #SectorRotation #Nifty50
42"
#nifty50,Harshali,2026-07-01T06:44:51.000Z,"Harshali
@harshalinvest
·
6m
350++ what a move 
Hope trades booked profits as planned #Sensex #NiftyOptions #Nifty50
Quote
Harshali
@harshalinvest
·
1h
   #Sensex 2 Jul 77000 CE

Only In Range @ 210 - 230 

250 280 310 350 & Above

NOT A BUY SELL RECOMMENDATION | DYOR 
54"
#nifty50,Aabha Vats,2026-07-01T06:43:11.000Z,"Aabha Vats
@AabhaVats
·
8m
All options buyers!

Help me.

Is this correct entry ?
t.me/trendo360

#nifty #nifty50 #sensex #options #scalping #trading #stock
79"
#nifty50,Business Times,2026-07-01T06:26:04.000Z,"Business Times
@BusinessTimesIn
·
25m
Replying to 
@BusinessTimesIn
 Sensex Today | Market Update

 India bonds rise as index-entry hopes counter rise in US yields

#StockMarketIndia #Nifty50
1
52"
#nifty50,Saanando Das,2026-07-01T06:25:10.000Z,"Saanando Das
@Saanando
·
26m
#nifty50 #banknifty - meant for short-term trading not intraday
247"
#nifty50,Business Times,2026-07-01T06:22:39.000Z,"Business Times
@BusinessTimesIn
·
28m
Replying to 
@BusinessTimesIn
 Sensex Today | Market Update

Sensex jumps up to 400 pts. Price: 76,870.27 Change: +0.51%

#StockMarketIndia #Nifty50
1
45"
#nifty50,Option Edge Tamil,2026-07-01T06:21:24.000Z,"Option Edge Tamil
@Optionedgetamil
·
29m
 Nifty 50 
 Breakout Above 23,968
 Target: 24,251. & 24,427

Price is sustaining above the breakout zone. 

#Nifty50 #Nifty #NSE #IndianStockMarket #StockMarket #SwingTrading #Breakout #PriceAction #TechnicalAnalysis
1
8
599"
#nifty50,Market News,2026-07-01T06:19:48.000Z,"Market News
@FunBeast4U
·
31m
#nifty #nifty50 #banknifty 
Definitely it will go down no bull power bears with strong capital like me are active 
I'm Strongly holding 24000 PE
Expiry:  14th July
Quote
Market News
@FunBeast4U
·
1h
Just bought 49 lakhs put
(Nifty 24000 PE)
Because it is certain that it will come down to 23900 again
I'll square when it will touch 23900
#nifty #banknifty #nifty50
152"
#nifty50,bss kerala,2026-07-01T06:19:38.000Z,"bss kerala
@OptionTrader383
·
31m
Replying to 
@niftyclubz
One of my great friend who had a lots of Gujju traders friends on Social Media called me almost every day 5 to 10 times to buy #Nifty50 Dec 31 2026, 30000 C E 500 lots as he according to him at the End of 2026 Nifty50 will go past 33000. And We will be Billionaire!!!!
38"
#nifty50,Business Times,2026-07-01T06:19:14.000Z,"Business Times
@BusinessTimesIn
·
31m
Replying to 
@BusinessTimesIn
 Sensex Today | Market Update

Nifty Media index surges over 3%

#StockMarketIndia #Nifty50
1
83"
nifty50,AToM Capital,2026-07-01T06:48:38.000Z,"AToM Capital
@AToMCapital
·
3m
Currently markets are trading -

NIFTY 50 : 24027.60  +0.68% (161.85 points)
BANK NIFTY : 57994.65  +0.79% (451.75 points)
SENSEX : 77034.07  +0.73% (555.40 points)

Yahan se upar ya neeche?

#Nifty #BankNifty #DALALSTREET #Sensex #GIFTNIFTY #STOCKMARKET #SHAREMARKET
Show more
47"
nifty50,Soctr.IN,2026-07-01T06:47:24.000Z,"Soctr.IN
@MySoctr
·
4m
#APTUS #Charts

Check Latest #Chartpatterns  on 
soctr.in/app                And ""follow"" 
@MySoctr
#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket #Trading
Show more
308"
nifty50,Deepak Mangani,2026-07-01T06:46:59.000Z,"Deepak Mangani
@Deepak_Mangani_
·
4m
[ Ather Energy ]  VAHAN Data – June

- Total 31,189 units (+94.75% YoY),
(+9.4%) MoM 

[ Ola Electric Mobility ]  VAHAN Data – June

- Total 16,144 units (-22% YoY) ,
(+6.1 %) MoM 

Ather is doing consistent execution  with sales,  margin expansion , new product launches,  capex
Show more
Quote
Deepak Mangani
@Deepak_Mangani_
·
Jun 28
( 1. ) EVERYTHING  U NEED TO KNOW ABOUT . [[ ATHER ENERGY ]]

-Ather is a vertically integrated, product-and-software-led EV scooter platform. 

-Its core moat comes from design-led vertical integration — it designs ~80% of critical components (battery pack excluding
1
1
27"
